State,District,Crop,Season,Irrigation_Type,Total_Water_Footprint(L_per_kg),Category
Maharashtra,Aurangabad,Soybean,Rabi,Drip,1135.25,Low
Maharashtra,Amravati,Maize,Kharif,Canal,891.95,Low
Maharashtra,Amravati,Banana,Kharif,Rainfed,3177.62,High
Maharashtra,Kolhapur,Sugarcane,Zaid,Drip,1983.08,Medium
Maharashtra,Solapur,Rice,Zaid,Well,5773.41,High
Maharashtra,Aurangabad,Banana,Kharif,Rainfed,3028.38,High
Maharashtra,Aurangabad,Maize,Rabi,Rainfed,706.51,Low
Maharashtra,Chandrapur,Groundnut,Kharif,Drip,2089.78,Medium
Maharashtra,Amravati,Soybean,Zaid,Canal,1494.21,Low
Maharashtra,Ahmednagar,Jowar,Zaid,Rainfed,481.77,Low
Maharashtra,Solapur,Cotton,Kharif,Drip,2403.96,Medium
Maharashtra,Chandrapur,Jowar,Zaid,Canal,723.39,Low
Maharashtra,Amravati,Sugarcane,Zaid,Drip,2375.41,Medium
Maharashtra,Amravati,Rice,Kharif,Well,4722.46,High
Maharashtra,Solapur,Tur,Rabi,Rainfed,640.83,Low
Maharashtra,Amravati,Rice,Rabi,Canal,3945.27,High
Maharashtra,Amravati,Soybean,Kharif,Well,1830.99,Medium
Maharashtra,Nagpur,Maize,Rabi,Canal,830.81,Low
Maharashtra,Nagpur,Tur,Zaid,Well,825.58,Low
Maharashtra,Pune,Wheat,Zaid,Rainfed,1471.82,Low
Maharashtra,Nagpur,Wheat,Zaid,Drip,1588.63,Medium
Maharashtra,Chandrapur,Banana,Rabi,Canal,4082.55,High
Maharashtra,Ahmednagar,Tur,Zaid,Rainfed,506.84,Low
Maharashtra,Nagpur,Banana,Zaid,Canal,4196.02,High
Maharashtra,Nashik,Wheat,Zaid,Well,2092.36,Medium
Maharashtra,Aurangabad,Tur,Rabi,Well,817.07,Low
Maharashtra,Ahmednagar,Jowar,Zaid,Rainfed,477.18,Low
Maharashtra,Solapur,Sugarcane,Kharif,Drip,3090.11,High
Maharashtra,Ahmednagar,Cotton,Zaid,Canal,2748.71,Medium
Maharashtra,Nashik,Jowar,Zaid,Canal,510.43,Low
Maharashtra,Nashik,Soybean,Zaid,Rainfed,1173.66,Low
Maharashtra,Nashik,Maize,Kharif,Well,748.89,Low
Maharashtra,Ahmednagar,Soybean,Rabi,Drip,1126.75,Low
Maharashtra,Nashik,Cotton,Rabi,Canal,2739.85,Medium
Maharashtra,Aurangabad,Groundnut,Zaid,Well,2811.15,Medium
Maharashtra,Pune,Jowar,Zaid,Well,611.16,Low
Maharashtra,Pune,Soybean,Rabi,Canal,1393.19,Low
Maharashtra,Nagpur,Groundnut,Kharif,Drip,1864.46,Medium
Maharashtra,Kolhapur,Sugarcane,Zaid,Well,3525.23,High
Maharashtra,Pune,Groundnut,Rabi,Drip,1715.08,Medium
Maharashtra,Solapur,Cotton,Rabi,Well,4287.33,High
Maharashtra,Nashik,Cotton,Rabi,Drip,1701.87,Medium
Maharashtra,Chandrapur,Banana,Kharif,Drip,3076.35,High
Maharashtra,Aurangabad,Soybean,Kharif,Rainfed,1401.89,Low
Maharashtra,Kolhapur,Jowar,Kharif,Drip,368.05,Low
Maharashtra,Amravati,Tur,Rabi,Well,812.82,Low
Maharashtra,Pune,Wheat,Rabi,Well,2368.78,Medium
Maharashtra,Amravati,Rice,Zaid,Rainfed,3248.88,High
Maharashtra,Ahmednagar,Soybean,Rabi,Drip,1001.54,Low
Maharashtra,Nagpur,Soybean,Kharif,Canal,1657.05,Medium
Maharashtra,Nashik,Rice,Zaid,Canal,3864.64,High
Maharashtra,Nagpur,Cotton,Kharif,Canal,3350.49,High
Maharashtra,Aurangabad,Tur,Zaid,Well,794.22,Low
Maharashtra,Kolhapur,Maize,Rabi,Well,687.27,Low
Maharashtra,Satara,Tur,Rabi,Rainfed,563.46,Low
Maharashtra,Satara,Soybean,Zaid,Drip,906.94,Low
Maharashtra,Aurangabad,Tur,Kharif,Canal,721.31,Low
Maharashtra,Kolhapur,Jowar,Zaid,Rainfed,430.1,Low
Maharashtra,Solapur,Cotton,Zaid,Canal,3819.19,High
Maharashtra,Nashik,Wheat,Rabi,Rainfed,1575.87,Medium
Maharashtra,Aurangabad,Sugarcane,Kharif,Rainfed,2910.98,Medium
Maharashtra,Solapur,Tur,Rabi,Well,1000.08,Low
Maharashtra,Aurangabad,Wheat,Kharif,Rainfed,1651.0,Medium
Maharashtra,Kolhapur,Banana,Rabi,Canal,3050.04,High
Maharashtra,Chandrapur,Banana,Zaid,Rainfed,3017.02,High
Maharashtra,Amravati,Sugarcane,Zaid,Rainfed,3178.66,High
Maharashtra,Satara,Groundnut,Kharif,Rainfed,1770.39,Medium
Maharashtra,Kolhapur,Tur,Zaid,Canal,623.36,Low
Maharashtra,Pune,Wheat,Zaid,Rainfed,1459.78,Low
Maharashtra,Pune,Jowar,Kharif,Drip,438.19,Low
Maharashtra,Amravati,Jowar,Kharif,Drip,457.24,Low
Maharashtra,Chandrapur,Banana,Rabi,Drip,2570.95,Medium
Maharashtra,Chandrapur,Groundnut,Rabi,Well,3337.23,High
Maharashtra,Ahmednagar,Wheat,Rabi,Canal,2033.28,Medium
